runnable_processes,blocked_processes,swap_used,free_memory,buffer_memory,page_cache,swap_in,swap_out,blocks_in,blocks_out,interrupts,context_switches,user_cpu,system_cpu,idle_cpu,io_wait,steal_time,guest_time,Cluster
1,1,360548,2280392,51116,179948,573,10276,11435,10393,1861,5,6,6,77,10,0,0,1
1,1,360548,1500808,71604,184724,0,0,10328,0,1701,1272,25,3,50,23,0,0,2
1,1,360548,813712,83328,189404,0,0,6010,2,1849,1453,23,4,51,23,0,0,2
2,0,360548,2524404,93456,195292,28,0,5152,94,2917,2639,24,3,50,23,0,0,2
1,1,360548,1773776,106672,201456,0,0,6780,0,2545,2601,25,3,50,22,0,0,2
1,1,360548,1009920,120208,206140,0,0,6892,26,1375,1129,24,2,50,23,0,0,2
1,1,360292,2659136,131668,214820,882,0,6804,0,1967,1644,25,3,50,22,0,0,2
1,1,360292,1915608,142436,220888,100,0,7136,0,1588,1205,25,3,49,23,0,0,2
1,1,358940,1158880,154424,227848,2000,0,8238,24,2397,2438,25,4,49,22,0,0,2
2,0,358940,2807524,166488,234912,0,0,6160,0,1949,1825,24,3,50,23,0,0,2
1,1,358940,2141700,178720,241864,0,0,6304,82,1899,1633,25,3,49,22,0,0,2
1,1,358940,1400500,191984,250640,0,0,6830,2,1606,1355,26,3,49,22,0,0,2
1,0,358940,814044,192836,251708,40,0,592,0,599,477,26,2,68,4,0,0,3
1,0,358940,2529428,192848,251712,0,0,0,84,444,276,24,1,75,0,0,0,5
1,0,358940,1775524,192848,251712,0,0,0,116,449,244,24,1,75,0,0,0,5
1,0,358940,1011680,192848,251712,0,0,0,0,411,230,24,1,75,0,0,0,6
1,0,358940,2729244,192848,251712,0,0,0,4502,487,291,24,1,74,0,0,0,5
1,0,358940,1970508,192856,251712,0,0,0,22,436,250,24,1,75,0,0,0,5
1,0,358940,1208412,192856,251712,0,0,0,0,435,246,24,1,75,0,0,0,6
1,1,358684,2847992,192856,259424,792,0,4646,14,766,609,24,2,72,2,0,0,5
1,0,354364,2097072,192868,266544,1032,0,4484,12,744,692,24,2,73,1,0,0,4
1,0,354364,1341392,192868,266544,0,0,0,0,374,248,24,1,75,0,0,0,6
1,0,354364,2979440,192868,266544,0,0,0,82,404,243,24,1,75,0,0,0,5
1,0,354364,2275476,192876,266544,0,0,0,12,423,245,24,1,75,0,0,0,5
1,0,354364,1519796,192876,266544,0,0,0,0,418,229,24,1,75,0,0,0,6
1,0,354364,768336,192876,266544,0,0,0,4,443,261,24,1,75,0,0,0,6
1,0,354364,2487236,192876,266544,0,0,0,2,442,271,24,1,75,0,0,0,5
1,0,354364,1729508,192884,266544,0,0,0,6,440,254,24,1,75,0,0,0,5
