PCA,Cluster,deviance_retained,deviance_lost,intra_cluster_total,total_dev_lost,error
7,15,0.884123,0.115877,3048.647108,0.221733,
7,23,0.884123,0.115877,1987.343056,0.184882,
7,34,0.884123,0.115877,1363.362876,0.163216,
7,9,0.884123,0.115877,4989.628687,0.289128,
8,15,0.923768,0.076232,3793.093187,0.207937,
8,23,0.923768,0.076232,2385.745599,0.159071,
8,34,0.923768,0.076232,1484.761898,0.127787,
8,9,0.923768,0.076232,5674.047908,0.273248,
9,15,0.944788,0.055212,4628.217945,0.215914,
9,23,0.944788,0.055212,3054.185537,0.161260,
9,34,0.944788,0.055212,1897.014311,0.121080,
9,9,0.944788,0.055212,6676.570724,0.287037,
