runnable_processes,blocked_processes,swap_used,free_memory,buffer_memory,page_cache,swap_in,swap_out,blocks_in,blocks_out,interrupts,context_switches,user_cpu,system_cpu,idle_cpu,io_wait,steal_time,guest_time,Principale1,Principale2,Principale3,Principale4,Principale5,Principale6,Principale7
1,1,360548,2280392,51116,179948,573,10276,11435,10393,1861,5,6,6,77,10,0,0,"32,522378184","-52,29522967","27,144256018","11,064450418","-0,972524574","0,3522007423","-6,549529911"
1,1,360548,1500808,71604,184724,0,0,10328,0,1701,1272,25,3,50,23,0,0,"26,35372663","-1,278590042","-4,809855744","-8,942867568","3,598951664","-1,378914701","-2,260918233"
1,1,360548,813712,83328,189404,0,0,6010,2,1849,1453,23,4,51,23,0,0,"24,765777542","-1,713724601","-3,829420052","-8,123104521","2,4027523002","-0,558007473","-2,279775288"
2,0,360548,2524404,93456,195292,28,0,5152,94,2917,2639,24,3,50,23,0,0,"23,243710258","2,9291364658","-3,463898193","0,6837056009","4,3808311587","2,4494548885","-5,353395089"
1,1,360548,1773776,106672,201456,0,0,6780,0,2545,2601,25,3,50,22,0,0,"25,835145882","2,5567722837","-3,419509483","-5,475249474","2,144545679","-1,2404451","-4,636594178"
1,1,360548,1009920,120208,206140,0,0,6892,26,1375,1129,24,2,50,23,0,0,"21,526804759","-0,576469601","-4,08322163","-9,245271962","3,3711867794","-0,851963959","-1,43501901"
1,1,360292,2659136,131668,214820,882,0,6804,0,1967,1644,25,3,50,22,0,0,"24,270699474","2,6013125708","-2,43266965","-4,208795582","1,169744757","-1,386375955","2,5885027372"
1,1,360292,1915608,142436,220888,100,0,7136,0,1588,1205,25,3,49,23,0,0,"21,944151717","1,4790440362","-3,083042512","-7,553083419","3,1222034758","-1,913470052","-0,382598574"
1,1,358940,1158880,154424,227848,2000,0,8238,24,2397,2438,25,4,49,22,0,0,"27,822780612","5,9853320382","0,6197011579","-1,142486442","-3,685307386","1,4917559607","8,0747253716"
2,0,358940,2807524,166488,234912,0,0,6160,0,1949,1825,24,3,50,23,0,0,"17,917717652","3,9350258018","-1,980493472","-0,773323632","5,1212866472","1,4542249195","-1,03125708"
1,1,358940,2141700,178720,241864,0,0,6304,82,1899,1633,25,3,49,22,0,0,"20,546231948","3,516454669","-1,722525846","-6,294890793","2,7880211708","-2,256495979","-1,050215254"
1,1,358940,1400500,191984,250640,0,0,6830,2,1606,1355,26,3,49,22,0,0,"19,389072303","4,1518528851","-1,643019647","-7,181541117","2,46502781","-1,710469232","-0,440413625"
1,0,358940,814044,192836,251708,40,0,592,0,599,477,26,2,68,4,0,0,"3,4246053786","1,1021078839","-2,264637974","-0,164447609","-1,205951857","0,881935304","-0,714806456"
1,0,358940,2529428,192848,251712,0,0,0,84,444,276,24,1,75,0,0,0,"0,1553618804","-1,438678887","-2,43649645","0,958856756","-0,000567998","-0,416583391","0,1674920566"
1,0,358940,1775524,192848,251712,0,0,0,116,449,244,24,1,75,0,0,0,"0,1172994714","-1,529236842","-2,284261957","0,4829771783","-0,503360237","0,3446227208","-0,034385902"
1,0,358940,1011680,192848,251712,0,0,0,0,411,230,24,1,75,0,0,0,"-0,039361854","-1,405236138","-2,328117194","-0,15823354","-0,986345607","1,1107348532","-0,06308354"
1,0,358940,2729244,192848,251712,0,0,0,4502,487,291,24,1,74,0,0,0,"2,6596498793","-8,243064897","2,8178534356","5,2007480623","-0,348353005","-0,552975772","-3,752773435"
1,0,358940,1970508,192856,251712,0,0,0,22,436,250,24,1,75,0,0,0,"0,0634829873","-1,384527621","-2,432920153","0,5128811561","-0,356863528","0,1437372235","0,1123035126"
1,0,358940,1208412,192856,251712,0,0,0,0,435,246,24,1,75,0,0,0,"0,0199815933","-1,361017063","-2,342186476","0,0050793984","-0,872296064","0,9174540571","-0,061243047"
1,1,358684,2847992,192856,259424,792,0,4646,14,766,609,24,2,72,2,0,0,"9,1770195445","-0,439296798","-0,733159494","-1,513621359","-0,064703462","-0,923610819","5,8917060063"
1,0,354364,2097072,192868,266544,1032,0,4484,12,744,692,24,2,73,1,0,0,"5,4962799199","0,7867171793","0,110301895","2,7427198437","-3,084318827","1,0094775457","6,2706221495"
1,0,354364,1341392,192868,266544,0,0,0,0,374,248,24,1,75,0,0,0,"-0,188211692","-1,184579212","-1,815136403","-0,152261281","-0,603880896","0,6746502482","0,0456682559"
1,0,354364,2979440,192868,266544,0,0,0,82,404,243,24,1,75,0,0,0,"-0,05141675","-1,280306268","-1,955642604","0,9830545215","0,4948509271","-0,986762371","0,3602590451"
1,0,354364,2275476,192876,266544,0,0,0,12,423,245,24,1,75,0,0,0,"-0,081786825","-1,154197125","-1,918932436","0,4919045044","0,0118236744","-0,269147078","0,2096103427"
1,0,354364,1519796,192876,266544,0,0,0,0,418,229,24,1,75,0,0,0,"-0,139160376","-1,165085411","-1,821669114","-0,018702234","-0,491652041","0,4950559222","0,0457423282"
1,0,354364,768336,192876,266544,0,0,0,4,443,261,24,1,75,0,0,0,"-0,091014905","-1,113063603","-1,680394891","-0,433979806","-1,035437441","1,2700746853","-0,218518264"
1,0,354364,2487236,192876,266544,0,0,0,2,442,271,24,1,75,0,0,0,"-0,02286407","-1,086714653","-1,948416071","0,6611521511","0,1339636865","-0,476394033","0,222025189"
1,0,354364,1729508,192884,266544,0,0,0,6,440,254,24,1,75,0,0,0,"-0,069232221","-1,120921833","-1,830034686","0,1659885584","-0,373631601","0,2904125563","0,0403600293"
1,0,354364,970208,192884,266544,0,0,0,0,496,236,24,2,75,0,0,0,"0,5186716123","-1,053485907","-1,273929524","0,0900592779","-1,244469127","0,9252437406","0,2384768108"
1,0,354364,2691564,192884,266544,0,0,0,2,606,263,24,1,75,0,0,0,"0,2147898853","-0,939853265","-1,890163023","0,932937241","0,2018512351","-0,663291976","0,0446108338"
1,0,354364,1925104,192884,266544,0,0,0,0,653,233,23,2,75,0,0,0,"0,7412686541","-1,538206709","-1,157389267","0,5980448399","-0,612033908","0,003483614","0,6902578811"
1,0,354364,1167104,192892,266544,0,0,0,6,669,247,24,1,75,0,0,0,"0,2380360207","-0,916555392","-1,616362282","0,0135044066","-0,8603856","0,8926805458","-0,431464741"
1,0,354364,2818140,192892,266544,0,0,0,2,688,275,24,1,75,0,0,0,"0,3520724547","-0,846221062","-1,86179405","1,1010186168","0,2432977004","-0,778050922","-0,052288914"
1,0,354364,2121428,192892,266544,0,0,0,0,658,238,24,2,75,0,0,0,"0,7973022045","-0,889629846","-1,361983873","0,9695077508","-0,534410856","-0,222918028","0,3007727651"
1,0,354364,1366728,192900,266544,0,0,0,6,647,232,24,1,75,0,0,0,"0,1957552794","-0,954375749","-1,662186883","0,1039793095","-0,70527077","0,6832337708","-0,333751048"
1,0,354364,3006748,192900,266544,0,0,0,2,677,271,24,1,75,0,0,0,"0,3377227123","-0,860033598","-1,897761737","1,2061250889","0,3794891651","-0,972337521","0,0165351654"
1,0,354364,2331412,192900,266544,0,0,0,0,696,293,24,1,75,0,0,0,"0,3655585978","-0,816160075","-1,780663882","0,8174420065","-0,103098446","-0,277924345","-0,204832305"
1,0,354364,1580504,192900,266544,0,0,0,0,679,242,24,1,75,0,0,0,"0,2580107078","-0,900771935","-1,682908423","0,2734858143","-0,579110411","0,4722917721","-0,328550409"
1,0,354364,820900,192908,266544,0,0,0,8,684,250,24,1,75,0,0,0,"0,2516396803","-0,903580231","-1,550955241","-0,186584492","-1,105980621","1,2475855792","-0,547242797"
1,0,354364,2532432,192908,266544,0,0,0,0,677,265,24,1,75,0,0,0,"0,3132631332","-0,86729739","-1,827427801","0,8979834993","0,0590032577","-0,491246357","-0,09921655"
1,0,354364,1773756,192908,266544,0,0,0,0,647,254,24,1,75,0,0,0,"0,2308977261","-0,914523146","-1,7283407","0,3789289063","-0,439127694","0,2739033896","-0,242680343"
1,0,354364,1023432,192916,266544,0,0,0,10,423,252,24,1,75,0,0,0,"-0,120119388","-1,149471347","-1,724728631","-0,29440618","-0,847746673","1,0058428205","-0,119215237"
1,0,354364,2732288,192916,266544,4,0,4,0,441,275,24,1,75,0,0,0,"-0,005985644","-1,07284854","-1,983506754","0,8265484834","0,2895461124","-0,719994667","0,3082421567"
1,0,354364,1984888,192916,266544,0,0,0,2,439,254,24,1,75,0,0,0,"-0,065283823","-1,112707371","-1,874319915","0,3231924065","-0,198506522","0,0303189922","0,1124908026"
1,0,354364,1221060,192916,266544,0,0,0,2,419,231,24,1,75,0,0,0,"-0,146542915","-1,16542968","-1,771075421","-0,202457608","-0,697948977","0,7994456084","-0,035845908"
1,0,354364,2855828,192924,266544,0,0,0,6,436,273,24,1,75,0,0,0,"-0,016706687","-1,091999441","-2,002771864","0,8950937138","0,3865662518","-0,851771802","0,3223900192"
1,0,354364,2176404,192924,266544,0,0,0,0,427,244,24,1,75,0,0,0,"-0,088683117","-1,131758908","-1,914791895","0,4210848218","-0,056207115","-0,168432956","0,1907651964"
1,0,354108,1413340,192928,266548,72,0,74,4,427,260,24,1,75,0,0,0,"0,04805746","-1,049732753","-1,689333484","0,1062450232","-0,759323669","0,6990818063","0,3696074697"
1,0,354108,3045196,192928,266548,0,0,0,0,434,260,24,1,75,0,0,0,"-0,035146503","-1,090715639","-2,020914423","0,9868188724","0,530979747","-1,051409682","0,3907942597"
1,0,354108,2357912,192936,266548,0,0,0,10,420,238,24,1,75,0,0,0,"-0,099124996","-1,151453903","-1,913894232","0,5255741024","0,0792631051","-0,358897481","0,2441541641"
