runnable_processes,blocked_processes,swap_used,free_memory,buffer_memory,page_cache,swap_in,swap_out,blocks_in,blocks_out,interrupts,context_switches,user_cpu,system_cpu,idle_cpu,io_wait,steal_time,guest_time,Principale1,Principale2,Principale3,Principale4,Principale5,Principale6,Principale7,Principale8,Principale9,Principale10,Principale11,Principale12,Principale13,Principale14,Principale15,Principale16
1,1,360548,2280392,51116,179948,573,10276,11435,10393,1861,5,6,6,77,10,0,0,"32,522378184","-52,29522967","27,144256018","11,064450418","-0,972524574","0,3522007423","-6,549529911","3,3065755653","1,8972745763","-0,492301503","-0,043483535","-0,751678657","1,303269239","0,5520343021","1,733803699","0,0023112461"
1,1,360548,1500808,71604,184724,0,0,10328,0,1701,1272,25,3,50,23,0,0,"26,35372663","-1,278590042","-4,809855744","-8,942867568","3,598951664","-1,378914701","-2,260918233","-0,684467533","-1,721255421","-1,044784824","-3,662152114","-3,579828613","0,305048064","3,2528925878","-2,925144562","-0,534207281"
1,1,360548,813712,83328,189404,0,0,6010,2,1849,1453,23,4,51,23,0,0,"24,765777542","-1,713724601","-3,829420052","-8,123104521","2,4027523002","-0,558007473","-2,279775288","-3,559505458","-3,179875731","1,9173736934","-4,561279921","-0,852037054","0,2379450767","1,4087202875","-1,606072486","-0,1589511"
2,0,360548,2524404,93456,195292,28,0,5152,94,2917,2639,24,3,50,23,0,0,"23,243710258","2,9291364658","-3,463898193","0,6837056009","4,3808311587","2,4494548885","-5,353395089","-2,747931863","-9,65272654","-4,109731386","-2,930119291","0,5557488342","0,5044474078","0,3172892931","-1,101843956","0,3686040119"
1,1,360548,1773776,106672,201456,0,0,6780,0,2545,2601,25,3,50,22,0,0,"25,835145882","2,5567722837","-3,419509483","-5,475249474","2,144545679","-1,2404451","-4,636594178","-0,751696622","-2,499357829","2,0988053877","-1,83465867","-0,023398069","1,6667771019","-0,237186851","-1,61721224","0,2693439903"
1,1,360548,1009920,120208,206140,0,0,6892,26,1375,1129,24,2,50,23,0,0,"21,526804759","-0,576469601","-4,08322163","-9,245271962","3,3711867794","-0,851963959","-1,43501901","0,6559026549","-0,525445115","0,3601156784","-2,344545667","0,3558421287","-0,540410097","0,2578321195","0,1368015874","-0,229026708"
1,1,360292,2659136,131668,214820,882,0,6804,0,1967,1644,25,3,50,22,0,0,"24,270699474","2,6013125708","-2,43266965","-4,208795582","1,169744757","-1,386375955","2,5885027372","1,8091126105","-0,982666195","2,3962523421","-2,267741201","0,3347243157","-1,143512855","0,5542999936","0,5502304027","0,0340347482"
1,1,360292,1915608,142436,220888,100,0,7136,0,1588,1205,25,3,49,23,0,0,"21,944151717","1,4790440362","-3,083042512","-7,553083419","3,1222034758","-1,913470052","-0,382598574","-0,564123261","0,7859063644","0,6493329765","-0,59929726","0,8190388549","-1,369248085","-0,034520931","1,2253680206","0,0035987807"
1,1,358940,1158880,154424,227848,2000,0,8238,24,2397,2438,25,4,49,22,0,0,"27,822780612","5,9853320382","0,6197011579","-1,142486442","-3,685307386","1,4917559607","8,0747253716","3,5320102784","-0,671705927","3,238909064","-1,576542662","1,0612811422","-1,200002017","-0,390920882","1,065047638","0,167706284"
2,0,358940,2807524,166488,234912,0,0,6160,0,1949,1825,24,3,50,23,0,0,"17,917717652","3,9350258018","-1,980493472","-0,773323632","5,1212866472","1,4542249195","-1,03125708","-2,624627203","-4,328161823","-5,97115753","1,2379304435","2,8630184985","-1,056244515","-1,908687499","2,4209641312","0,7635164306"
